USAGE_DATE,FACILITY_NAME,attendance,Holidays,Weekends
2018-06-01,PortAventura World,46804,0,0
2018-06-02,PortAventura World,57940,0,1
2018-06-03,PortAventura World,44365,0,1
2018-06-04,PortAventura World,37617,0,0
2018-06-05,PortAventura World,32438,0,0
2018-06-06,PortAventura World,28399,0,0
2018-06-07,PortAventura World,39436,0,0
2018-06-08,PortAventura World,36459,0,0
2018-06-09,PortAventura World,52664,0,1
2018-06-10,PortAventura World,47025,0,1
2018-06-11,PortAventura World,34984,0,0
2018-06-12,PortAventura World,34307,0,0
2018-06-13,PortAventura World,41448,0,0
2018-06-14,PortAventura World,41817,0,0
2018-06-15,PortAventura World,42530,0,0
2018-06-16,PortAventura World,54361,0,1
2018-06-17,PortAventura World,39359,0,1
2018-06-18,PortAventura World,37090,0,0
2018-06-19,PortAventura World,41024,0,0
2018-06-20,PortAventura World,40455,0,0
2018-06-21,PortAventura World,42193,0,0
2018-06-22,PortAventura World,41569,0,0
2018-06-23,PortAventura World,58821,0,1
2018-06-24,PortAventura World,49889,0,1
2018-06-25,PortAventura World,53176,0,0
2018-06-26,PortAventura World,52876,0,0
2018-06-27,PortAventura World,50993,0,0
2018-06-28,PortAventura World,51994,0,0
2018-06-29,PortAventura World,50478,0,0
2018-06-30,PortAventura World,58315,0,1
2018-07-01,PortAventura World,48253,0,1
2018-07-02,PortAventura World,47915,0,0
2018-07-03,PortAventura World,46968,0,0
2018-07-04,PortAventura World,49858,0,0
2018-07-05,PortAventura World,47216,0,0
2018-07-06,PortAventura World,43111,0,0
2018-07-07,PortAventura World,53368,0,1
2018-07-08,PortAventura World,45474,0,1
2018-07-09,PortAventura World,47896,0,0
2018-07-10,PortAventura World,48277,0,0
2018-07-11,PortAventura World,47003,0,0
2018-07-12,PortAventura World,49209,0,0
2018-07-13,PortAventura World,37971,0,0
2018-07-14,PortAventura World,56394,0,1
2018-07-15,PortAventura World,37457,0,1
2018-07-16,PortAventura World,44653,0,0
2018-07-17,PortAventura World,51942,0,0
2018-07-18,PortAventura World,52475,0,0
2018-07-19,PortAventura World,49957,0,0
2018-07-20,PortAventura World,38078,0,0
2018-07-21,PortAventura World,59066,0,1
2018-07-22,PortAventura World,50531,0,1
2018-07-23,PortAventura World,54214,0,0
2018-07-24,PortAventura World,58843,0,0
2018-07-25,PortAventura World,53768,0,0
2018-07-26,PortAventura World,51283,0,0
2018-07-27,PortAventura World,42794,0,0
2018-07-28,PortAventura World,60031,0,1
2018-07-29,PortAventura World,50327,0,1
2018-07-30,PortAventura World,53319,0,0
2018-07-31,PortAventura World,56054,0,0
2018-08-01,PortAventura World,54946,0,0
2018-08-02,PortAventura World,52467,0,0
2018-08-03,PortAventura World,44528,0,0
2018-08-04,PortAventura World,48875,0,1
2018-08-05,PortAventura World,44848,0,1
2018-08-06,PortAventura World,55363,0,0
2018-08-07,PortAventura World,56383,0,0
2018-08-08,PortAventura World,72199,0,0
2018-08-09,PortAventura World,46583,0,0
2018-08-10,PortAventura World,64516,0,0
2018-08-11,PortAventura World,61914,0,1
2018-08-12,PortAventura World,55194,0,1
2018-08-13,PortAventura World,45891,0,0
2018-08-14,PortAventura World,61948,0,0
2018-08-15,PortAventura World,53729,1,0
2018-08-16,PortAventura World,57342,0,0
2018-08-17,PortAventura World,53883,0,0
2018-08-18,PortAventura World,63711,0,1
2018-08-19,PortAventura World,55109,0,1
2018-08-20,PortAventura World,57740,0,0
2018-08-21,PortAventura World,63759,0,0
2018-08-22,PortAventura World,60196,0,0
2018-08-23,PortAventura World,77261,0,0
2018-08-24,PortAventura World,53529,0,0
2018-08-25,PortAventura World,55503,0,1
2018-08-26,PortAventura World,54330,0,1
2018-08-27,PortAventura World,58609,0,0
2018-08-28,PortAventura World,69559,0,0
2018-08-29,PortAventura World,43659,0,0
2018-08-30,PortAventura World,61159,0,0
2018-08-31,PortAventura World,54800,0,0
2018-09-01,PortAventura World,57367,0,1
2018-09-02,PortAventura World,39488,0,1
2018-09-03,PortAventura World,39006,0,0
2018-09-04,PortAventura World,39373,0,0
2018-09-05,PortAventura World,39887,0,0
2018-09-06,PortAventura World,39810,0,0
2018-09-07,PortAventura World,38951,0,0
2018-09-08,PortAventura World,58206,0,1
2018-09-09,PortAventura World,42245,0,1
2018-09-10,PortAventura World,34200,0,0
2018-09-11,PortAventura World,33832,0,0
2018-09-12,PortAventura World,33776,0,0
2018-09-13,PortAventura World,26274,0,0
2018-09-14,PortAventura World,28164,0,0
2018-09-15,PortAventura World,65538,0,1
2018-09-16,PortAventura World,38398,0,1
2018-09-17,PortAventura World,23472,0,0
2018-09-18,PortAventura World,23130,0,0
2018-09-19,PortAventura World,25394,0,0
2018-09-20,PortAventura World,25841,0,0
2018-09-21,PortAventura World,23372,0,0
2018-09-22,PortAventura World,57207,0,1
2018-09-23,PortAventura World,30642,0,1
2018-09-24,PortAventura World,26803,0,0
2018-09-25,PortAventura World,23003,0,0
2018-09-26,PortAventura World,26494,0,0
2018-09-27,PortAventura World,33657,0,0
2018-09-28,PortAventura World,30020,0,0
2018-09-29,PortAventura World,51281,0,1
2018-09-30,PortAventura World,35059,0,1
2018-10-01,PortAventura World,25133,0,0
2018-10-02,PortAventura World,22445,0,0
2018-10-03,PortAventura World,25118,0,0
2018-10-04,PortAventura World,30598,0,0
2018-10-05,PortAventura World,34499,0,0
2018-10-06,PortAventura World,56522,0,1
2018-10-07,PortAventura World,35015,0,1
2018-10-08,PortAventura World,31405,0,0
2018-10-09,PortAventura World,31077,0,0
2018-10-10,PortAventura World,33234,0,0
2018-10-11,PortAventura World,29926,0,0
2018-10-12,PortAventura World,34840,1,0
2018-10-13,PortAventura World,62452,0,1
2018-10-14,PortAventura World,43957,0,1
2018-10-15,PortAventura World,35839,0,0
2018-10-16,PortAventura World,36601,0,0
2018-10-17,PortAventura World,34549,0,0
2018-10-18,PortAventura World,34626,0,0
2018-10-19,PortAventura World,35897,0,0
2018-10-20,PortAventura World,62256,0,1
2018-10-21,PortAventura World,64262,0,1
2018-10-22,PortAventura World,53397,0,0
2018-10-23,PortAventura World,60327,0,0
2018-10-24,PortAventura World,55532,0,0
2018-10-25,PortAventura World,59155,0,0
2018-10-26,PortAventura World,49955,0,0
2018-10-27,PortAventura World,53644,0,1
2018-10-28,PortAventura World,50868,0,1
2018-10-29,PortAventura World,48929,0,0
2018-10-30,PortAventura World,43201,0,0
2018-10-31,PortAventura World,64137,0,0
2018-11-01,PortAventura World,54615,1,0
2018-11-02,PortAventura World,80123,0,0
2018-11-03,PortAventura World,65140,0,1
2018-11-04,PortAventura World,39899,0,1
2018-11-05,PortAventura World,21204,0,0
2018-11-06,PortAventura World,17709,0,0
2018-11-07,PortAventura World,14673,0,0
2018-11-08,PortAventura World,21227,0,0
2018-11-09,PortAventura World,25432,0,0
2018-11-10,PortAventura World,45241,0,1
2018-11-11,PortAventura World,38117,0,1
2018-11-12,PortAventura World,25105,0,0
2018-11-13,PortAventura World,29034,0,0
2018-11-14,PortAventura World,27534,0,0
2018-11-15,PortAventura World,28199,0,0
2018-11-16,PortAventura World,62679,0,0
2018-11-17,PortAventura World,57083,0,1
2018-11-18,PortAventura World,50966,0,1
2018-11-19,PortAventura World,28305,0,0
2018-11-20,PortAventura World,18513,0,0
2018-11-21,PortAventura World,24621,0,0
2018-11-22,PortAventura World,27794,0,0
2018-11-23,PortAventura World,48311,0,0
2018-11-24,PortAventura World,57748,0,1
2018-11-25,PortAventura World,44645,0,1
2018-11-26,PortAventura World,27289,0,0
2018-11-27,PortAventura World,23748,0,0
2018-11-28,PortAventura World,22016,0,0
2018-11-29,PortAventura World,23474,0,0
2018-11-30,PortAventura World,46645,0,0
2018-12-01,PortAventura World,57853,0,1
2018-12-02,PortAventura World,51015,0,1
2018-12-03,PortAventura World,34352,0,0
2018-12-04,PortAventura World,32437,0,0
2018-12-05,PortAventura World,29044,0,0
2018-12-06,PortAventura World,33697,1,0
2018-12-07,PortAventura World,54796,0,0
2018-12-08,PortAventura World,61284,1,1
2018-12-09,PortAventura World,41943,0,1
2018-12-10,PortAventura World,36370,0,0
2018-12-11,PortAventura World,32422,0,0
2018-12-12,PortAventura World,32316,0,0
2018-12-13,PortAventura World,30557,0,0
2018-12-14,PortAventura World,63758,0,0
2018-12-15,PortAventura World,57457,0,1
2018-12-16,PortAventura World,51486,0,1
2018-12-17,PortAventura World,35466,0,0
2018-12-18,PortAventura World,55042,0,0
2018-12-19,PortAventura World,40087,0,0
2018-12-20,PortAventura World,41981,0,0
2018-12-21,PortAventura World,56197,0,0
2018-12-22,PortAventura World,63557,0,1
2018-12-23,PortAventura World,53217,0,1
2018-12-24,PortAventura World,52442,0,0
2018-12-25,PortAventura World,66441,1,0
2018-12-26,PortAventura World,56065,0,0
2018-12-27,PortAventura World,72756,0,0
2018-12-28,PortAventura World,67764,0,0
2018-12-29,PortAventura World,64695,0,1
2018-12-30,PortAventura World,64265,0,1
2018-12-31,PortAventura World,77454,0,0
2019-01-01,PortAventura World,57824,1,0
2019-01-02,PortAventura World,62595,0,0
2019-01-03,PortAventura World,66944,0,0
2019-01-04,PortAventura World,63066,0,0
2019-01-05,PortAventura World,70032,0,1
2019-01-06,PortAventura World,44651,0,1
2019-01-07,PortAventura World,22099,0,0
2019-01-08,PortAventura World,16814,0,0
2019-01-09,PortAventura World,14620,0,0
2019-01-10,PortAventura World,17599,0,0
2019-01-11,PortAventura World,16358,0,0
2019-01-12,PortAventura World,47741,0,1
2019-01-13,PortAventura World,37696,0,1
2019-01-14,PortAventura World,17846,0,0
2019-01-15,PortAventura World,14418,0,0
2019-01-16,PortAventura World,12922,0,0
2019-01-17,PortAventura World,12637,0,0
2019-01-18,PortAventura World,14575,0,0
2019-01-19,PortAventura World,41507,0,1
2019-01-20,PortAventura World,33450,0,1
2019-01-21,PortAventura World,16913,0,0
2019-01-22,PortAventura World,8773,0,0
2019-01-23,PortAventura World,8601,0,0
2019-01-24,PortAventura World,12157,0,0
2019-01-25,PortAventura World,14421,0,0
2019-01-26,PortAventura World,44483,0,1
2019-01-27,PortAventura World,29188,0,1
2019-01-28,PortAventura World,17564,0,0
2019-01-29,PortAventura World,10436,0,0
2019-01-30,PortAventura World,9421,0,0
2019-01-31,PortAventura World,10581,0,0
2019-02-01,PortAventura World,15119,0,0
2019-02-02,PortAventura World,37769,0,1
2019-02-03,PortAventura World,39642,0,1
2019-02-04,PortAventura World,19274,0,0
2019-02-05,PortAventura World,19260,0,0
2019-02-06,PortAventura World,16466,0,0
2019-02-07,PortAventura World,18016,0,0
2019-02-08,PortAventura World,20953,0,0
2019-02-09,PortAventura World,44534,0,1
2019-02-10,PortAventura World,29321,0,1
2019-02-11,PortAventura World,31171,0,0
2019-02-12,PortAventura World,30311,0,0
2019-02-13,PortAventura World,30451,0,0
2019-02-14,PortAventura World,36569,0,0
2019-02-15,PortAventura World,31839,0,0
2019-02-16,PortAventura World,58249,0,1
2019-02-17,PortAventura World,53777,0,1
2019-02-18,PortAventura World,40835,0,0
2019-02-19,PortAventura World,39152,0,0
2019-02-20,PortAventura World,37296,0,0
2019-02-21,PortAventura World,41614,0,0
2019-02-22,PortAventura World,38942,0,0
2019-02-23,PortAventura World,53531,0,1
2019-02-24,PortAventura World,44358,0,1
2019-02-25,PortAventura World,39184,0,0
2019-02-26,PortAventura World,38867,0,0
2019-02-27,PortAventura World,39306,0,0
2019-02-28,PortAventura World,32413,0,0
2019-03-01,PortAventura World,36466,0,0
2019-03-02,PortAventura World,51132,0,1
2019-03-03,PortAventura World,43795,0,1
2019-03-04,PortAventura World,35287,0,0
2019-03-05,PortAventura World,37480,0,0
2019-03-06,PortAventura World,32085,0,0
2019-03-07,PortAventura World,41970,0,0
2019-03-08,PortAventura World,49850,0,0
2019-03-09,PortAventura World,57389,0,1
2019-03-10,PortAventura World,40347,0,1
2019-03-11,PortAventura World,30328,0,0
2019-03-12,PortAventura World,22442,0,0
2019-03-13,PortAventura World,21482,0,0
2019-03-14,PortAventura World,19230,0,0
2019-03-15,PortAventura World,33311,0,0
2019-03-16,PortAventura World,68675,0,1
2019-03-17,PortAventura World,43948,0,1
2019-03-18,PortAventura World,35527,0,0
2019-03-19,PortAventura World,33175,0,0
2019-03-20,PortAventura World,32131,0,0
2019-03-21,PortAventura World,34365,0,0
2019-03-22,PortAventura World,44921,0,0
2019-03-23,PortAventura World,76916,0,1
2019-03-24,PortAventura World,58040,0,1
2019-03-25,PortAventura World,38068,0,0
2019-03-26,PortAventura World,31067,0,0
2019-03-27,PortAventura World,32533,0,0
2019-03-28,PortAventura World,37412,0,0
2019-03-29,PortAventura World,41942,0,0
2019-03-30,PortAventura World,77740,0,1
2019-03-31,PortAventura World,61826,0,1
2019-04-01,PortAventura World,39438,0,0
2019-04-02,PortAventura World,25884,0,0
2019-04-03,PortAventura World,28436,0,0
2019-04-04,PortAventura World,35058,0,0
2019-04-05,PortAventura World,37280,0,0
2019-04-06,PortAventura World,51173,0,1
2019-04-07,PortAventura World,47711,0,1
2019-04-08,PortAventura World,50159,0,0
2019-04-09,PortAventura World,48204,0,0
2019-04-10,PortAventura World,44031,0,0
2019-04-11,PortAventura World,55586,0,0
2019-04-12,PortAventura World,47621,0,0
2019-04-13,PortAventura World,53011,0,1
2019-04-14,PortAventura World,48908,0,1
2019-04-15,PortAventura World,61281,0,0
2019-04-16,PortAventura World,49219,0,0
2019-04-17,PortAventura World,61469,0,0
2019-04-18,PortAventura World,63702,0,0
2019-04-19,PortAventura World,61252,1,0
2019-04-20,PortAventura World,63984,0,1
2019-04-21,PortAventura World,59853,0,1
2019-04-22,PortAventura World,52835,0,0
2019-04-23,PortAventura World,65080,0,0
2019-04-24,PortAventura World,56153,0,0
2019-04-25,PortAventura World,47643,0,0
2019-04-26,PortAventura World,53548,0,0
2019-04-27,PortAventura World,44958,0,1
2019-04-28,PortAventura World,39483,0,1
2019-04-29,PortAventura World,50273,0,0
2019-04-30,PortAventura World,57215,0,0
2019-05-01,PortAventura World,56939,1,0
2019-05-02,PortAventura World,43709,0,0
2019-05-03,PortAventura World,48140,0,0
2019-05-04,PortAventura World,40154,0,1
2019-05-05,PortAventura World,35605,0,1
2019-05-06,PortAventura World,30545,0,0
2019-05-07,PortAventura World,33640,0,0
2019-05-08,PortAventura World,26226,0,0
2019-05-09,PortAventura World,31218,0,0
2019-05-10,PortAventura World,29501,0,0
2019-05-11,PortAventura World,38162,0,1
2019-05-12,PortAventura World,43272,0,1
2019-05-13,PortAventura World,34158,0,0
2019-05-14,PortAventura World,34544,0,0
2019-05-15,PortAventura World,34548,0,0
2019-05-16,PortAventura World,38609,0,0
2019-05-17,PortAventura World,38478,0,0
2019-05-18,PortAventura World,52973,0,1
2019-05-19,PortAventura World,34864,0,1
2019-05-20,PortAventura World,19335,0,0
2019-05-21,PortAventura World,32923,0,0
2019-05-22,PortAventura World,34939,0,0
2019-05-23,PortAventura World,37732,0,0
2019-05-24,PortAventura World,38899,0,0
2019-05-25,PortAventura World,50372,0,1
2019-05-26,PortAventura World,40829,0,1
2019-05-27,PortAventura World,41258,0,0
2019-05-28,PortAventura World,38546,0,0
2019-05-29,PortAventura World,53379,0,0
2019-05-30,PortAventura World,57816,0,0
2019-05-31,PortAventura World,76906,0,0
2019-06-01,PortAventura World,62758,0,1
2019-06-02,PortAventura World,38657,0,1
2019-06-03,PortAventura World,35552,0,0
2019-06-04,PortAventura World,35401,0,0
2019-06-05,PortAventura World,22292,0,0
2019-06-06,PortAventura World,46353,0,0
2019-06-07,PortAventura World,31650,0,0
2019-06-08,PortAventura World,58737,0,1
2019-06-09,PortAventura World,65317,0,1
2019-06-10,PortAventura World,45340,0,0
2019-06-11,PortAventura World,40891,0,0
2019-06-12,PortAventura World,36393,0,0
2019-06-13,PortAventura World,44548,0,0
2019-06-14,PortAventura World,41605,0,0
2019-06-15,PortAventura World,61113,0,1
2019-06-16,PortAventura World,39644,0,1
2019-06-17,PortAventura World,43484,0,0
2019-06-18,PortAventura World,43642,0,0
2019-06-19,PortAventura World,36273,0,0
2019-06-20,PortAventura World,42419,0,0
2019-06-21,PortAventura World,52315,0,0
2019-06-22,PortAventura World,58197,0,1
2019-06-23,PortAventura World,49349,0,1
2019-06-24,PortAventura World,51218,0,0
2019-06-25,PortAventura World,49541,0,0
2019-06-26,PortAventura World,48378,0,0
2019-06-27,PortAventura World,49963,0,0
2019-06-28,PortAventura World,44823,0,0
2019-06-29,PortAventura World,49626,0,1
2019-06-30,PortAventura World,50615,0,1
2019-07-01,PortAventura World,51121,0,0
2019-07-02,PortAventura World,53008,0,0
2019-07-03,PortAventura World,50710,0,0
2019-07-04,PortAventura World,50839,0,0
2019-07-05,PortAventura World,45844,0,0
2019-07-06,PortAventura World,57334,0,1
2019-07-07,PortAventura World,52112,0,1
2019-07-08,PortAventura World,50665,0,0
2019-07-09,PortAventura World,54078,0,0
2019-07-10,PortAventura World,49217,0,0
2019-07-11,PortAventura World,51124,0,0
2019-07-12,PortAventura World,46768,0,0
2019-07-13,PortAventura World,54936,0,1
2019-07-14,PortAventura World,51575,0,1
2019-07-15,PortAventura World,46954,0,0
2019-07-16,PortAventura World,56142,0,0
2019-07-17,PortAventura World,54130,0,0
2019-07-18,PortAventura World,51951,0,0
2019-07-19,PortAventura World,47240,0,0
2019-07-20,PortAventura World,59714,0,1
2019-07-21,PortAventura World,52626,0,1
2019-07-22,PortAventura World,53389,0,0
2019-07-23,PortAventura World,53037,0,0
2019-07-24,PortAventura World,46183,0,0
2019-07-25,PortAventura World,38936,0,0
2019-07-26,PortAventura World,49861,0,0
2019-07-27,PortAventura World,49341,0,1
2019-07-28,PortAventura World,55672,0,1
2019-07-29,PortAventura World,56132,0,0
2019-07-30,PortAventura World,57014,0,0
2019-07-31,PortAventura World,55131,0,0
2019-08-01,PortAventura World,54248,0,0
2019-08-02,PortAventura World,46503,0,0
2019-08-03,PortAventura World,58228,0,1
2019-08-04,PortAventura World,51596,0,1
2019-08-05,PortAventura World,61462,0,0
2019-08-06,PortAventura World,60123,0,0
2019-08-07,PortAventura World,63269,0,0
2019-08-08,PortAventura World,72370,0,0
2019-08-09,PortAventura World,43737,0,0
2019-08-10,PortAventura World,64884,0,1
2019-08-11,PortAventura World,55270,0,1
2019-08-12,PortAventura World,55670,0,0
2019-08-13,PortAventura World,80642,0,0
2019-08-14,PortAventura World,63313,0,0
2019-08-15,PortAventura World,52264,1,0
2019-08-16,PortAventura World,65095,0,0
2019-08-17,PortAventura World,44813,0,1
2019-08-18,PortAventura World,45107,0,1
2019-08-19,PortAventura World,67589,0,0
2019-08-20,PortAventura World,69036,0,0
2019-08-21,PortAventura World,67023,0,0
2019-08-22,PortAventura World,67094,0,0
2019-08-23,PortAventura World,57831,0,0
2019-08-24,PortAventura World,68202,0,1
2019-08-25,PortAventura World,59389,0,1
2019-08-26,PortAventura World,55277,0,0
2019-08-27,PortAventura World,56983,0,0
2019-08-28,PortAventura World,54958,0,0
2019-08-29,PortAventura World,60125,0,0
2019-08-30,PortAventura World,52321,0,0
2019-08-31,PortAventura World,62434,0,1
2019-09-01,PortAventura World,47961,0,1
2019-09-02,PortAventura World,41301,0,0
2019-09-03,PortAventura World,43508,0,0
2019-09-04,PortAventura World,41358,0,0
2019-09-05,PortAventura World,41424,0,0
2019-09-06,PortAventura World,40299,0,0
2019-09-07,PortAventura World,56749,0,1
2019-09-08,PortAventura World,44303,0,1
2019-09-09,PortAventura World,36037,0,0
2019-09-10,PortAventura World,34916,0,0
2019-09-11,PortAventura World,35057,0,0
2019-09-12,PortAventura World,34557,0,0
2019-09-13,PortAventura World,40240,0,0
2019-09-14,PortAventura World,71663,0,1
2019-09-15,PortAventura World,51071,0,1
2019-09-16,PortAventura World,33619,0,0
2019-09-17,PortAventura World,31764,0,0
2019-09-18,PortAventura World,31807,0,0
2019-09-19,PortAventura World,30673,0,0
2019-09-20,PortAventura World,32302,0,0
2019-09-21,PortAventura World,65766,0,1
2019-09-22,PortAventura World,36942,0,1
2019-09-23,PortAventura World,32219,0,0
2019-09-24,PortAventura World,21960,0,0
2019-09-25,PortAventura World,22904,0,0
2019-09-26,PortAventura World,27085,0,0
2019-09-27,PortAventura World,53195,0,0
2019-09-28,PortAventura World,64717,0,1
2019-09-29,PortAventura World,33343,0,1
2019-09-30,PortAventura World,28027,0,0
2019-10-01,PortAventura World,18453,0,0
2019-10-02,PortAventura World,26186,0,0
2019-10-03,PortAventura World,30820,0,0
2019-10-04,PortAventura World,57224,0,0
2019-10-05,PortAventura World,51402,0,1
2019-10-06,PortAventura World,38424,0,1
2019-10-07,PortAventura World,36372,0,0
2019-10-08,PortAventura World,24529,0,0
2019-10-09,PortAventura World,27279,0,0
2019-10-10,PortAventura World,34812,0,0
2019-10-11,PortAventura World,35928,0,0
2019-10-12,PortAventura World,58539,1,1
2019-10-13,PortAventura World,54123,0,1
2019-10-14,PortAventura World,37665,0,0
2019-10-15,PortAventura World,36461,0,0
2019-10-16,PortAventura World,30652,0,0
2019-10-17,PortAventura World,35526,0,0
2019-10-18,PortAventura World,36948,0,0
2019-10-19,PortAventura World,48701,0,1
2019-10-20,PortAventura World,38304,0,1
2019-10-21,PortAventura World,46848,0,0
2019-10-22,PortAventura World,52307,0,0
2019-10-23,PortAventura World,51801,0,0
2019-10-24,PortAventura World,51839,0,0
2019-10-25,PortAventura World,48583,0,0
2019-10-26,PortAventura World,74214,0,1
2019-10-27,PortAventura World,41984,0,1
2019-10-28,PortAventura World,54762,0,0
2019-10-29,PortAventura World,55267,0,0
2019-10-30,PortAventura World,56027,0,0
2019-10-31,PortAventura World,72825,0,0
2019-11-01,PortAventura World,49755,1,0
2019-11-02,PortAventura World,57619,0,1
2019-11-03,PortAventura World,38280,0,1
2019-11-04,PortAventura World,22779,0,0
2019-11-05,PortAventura World,17075,0,0
2019-11-06,PortAventura World,18870,0,0
2019-11-07,PortAventura World,20750,0,0
2019-11-08,PortAventura World,25364,0,0
2019-11-09,PortAventura World,53995,0,1
2019-11-10,PortAventura World,67251,0,1
2019-11-11,PortAventura World,39912,0,0
2019-11-12,PortAventura World,28400,0,0
2019-11-13,PortAventura World,25693,0,0
2019-11-14,PortAventura World,26259,0,0
2019-11-15,PortAventura World,24173,0,0
2019-11-16,PortAventura World,55621,0,1
2019-11-17,PortAventura World,47251,0,1
2019-11-18,PortAventura World,25865,0,0
2019-11-19,PortAventura World,29147,0,0
2019-11-20,PortAventura World,27630,0,0
2019-11-21,PortAventura World,26592,0,0
2019-11-22,PortAventura World,51237,0,0
2019-11-23,PortAventura World,53678,0,1
2019-11-24,PortAventura World,50555,0,1
2019-11-25,PortAventura World,29383,0,0
2019-11-26,PortAventura World,24100,0,0
2019-11-27,PortAventura World,21731,0,0
2019-11-28,PortAventura World,25767,0,0
2019-11-29,PortAventura World,55331,0,0
2019-11-30,PortAventura World,60014,0,1
2019-12-01,PortAventura World,43519,0,1
2019-12-02,PortAventura World,31301,0,0
2019-12-03,PortAventura World,25496,0,0
2019-12-04,PortAventura World,24900,0,0
2019-12-05,PortAventura World,25649,0,0
2019-12-06,PortAventura World,47194,1,0
2019-12-07,PortAventura World,56747,0,1
2019-12-08,PortAventura World,39819,0,1
2019-12-09,PortAventura World,26402,0,0
2019-12-10,PortAventura World,27249,0,0
2019-12-11,PortAventura World,23359,0,0
2019-12-12,PortAventura World,26905,0,0
2019-12-13,PortAventura World,52739,0,0
2019-12-14,PortAventura World,59334,0,1
2019-12-15,PortAventura World,48955,0,1
2019-12-16,PortAventura World,29312,0,0
2019-12-17,PortAventura World,49853,0,0
2019-12-18,PortAventura World,38041,0,0
2019-12-19,PortAventura World,36101,0,0
2019-12-20,PortAventura World,57672,0,0
2019-12-21,PortAventura World,45725,0,1
2019-12-22,PortAventura World,49538,0,1
2019-12-23,PortAventura World,54043,0,0
2019-12-24,PortAventura World,46435,0,0
2019-12-25,PortAventura World,61971,1,0
2019-12-26,PortAventura World,59816,0,0
2019-12-27,PortAventura World,68255,0,0
2019-12-28,PortAventura World,72849,0,1
2019-12-29,PortAventura World,65991,0,1
2019-12-30,PortAventura World,76116,0,0
2019-12-31,PortAventura World,74321,0,0
2020-01-01,PortAventura World,51759,1,0
2020-01-02,PortAventura World,64609,0,0
2020-01-03,PortAventura World,62575,0,0
2020-01-04,PortAventura World,64796,0,1
2020-01-05,PortAventura World,43240,0,1
2020-01-06,PortAventura World,31702,1,0
2020-01-07,PortAventura World,22944,0,0
2020-01-08,PortAventura World,20885,0,0
2020-01-09,PortAventura World,16591,0,0
2020-01-10,PortAventura World,28901,0,0
